# Frequency (cm-1)	Intensity (arb. units)
1294.23	8.182575e-11
1295.56	8.136866e-11
1296.90	8.091465e-11
1298.23	8.046368e-11
1299.57	8.001574e-11
1300.90	7.957079e-11
1302.23	7.912881e-11
1303.57	7.868979e-11
1304.90	7.825369e-11
1306.24	7.782049e-11
1307.57	7.739018e-11
1308.91	7.696273e-11
1310.24	7.653811e-11
1311.57	7.611630e-11
1312.91	7.569729e-11
1314.24	7.528105e-11
1315.58	7.486755e-11
1316.91	7.445679e-11
1318.25	7.404873e-11
1319.58	7.364335e-11
1320.91	7.324064e-11
1322.25	7.284057e-11
1323.58	7.244312e-11
1324.92	7.204828e-11
1326.25	7.165602e-11
1327.59	7.126632e-11
1328.92	7.087916e-11
1330.25	7.049453e-11
1331.59	7.011240e-11
1332.92	6.973275e-11
1334.26	6.935558e-11
1335.59	6.898084e-11
1336.92	6.860854e-11
1338.26	6.823864e-11
1339.59	6.787114e-11
1340.93	6.750600e-11
1342.26	6.714323e-11
1343.60	6.678278e-11
1344.93	6.642466e-11
1346.26	6.606884e-11
1347.60	6.571530e-11
1348.93	6.536403e-11
1350.27	6.501501e-11
1351.60	6.466822e-11
1352.94	6.432364e-11
1354.27	6.398127e-11
1355.60	6.364107e-11
1356.94	6.330304e-11
1358.27	6.296716e-11
1359.61	6.263342e-11
1360.94	6.230179e-11
1362.28	6.197226e-11
1363.61	6.164482e-11
1364.94	6.131945e-11
1366.28	6.099613e-11
1367.61	6.067485e-11
1368.95	6.035560e-11
1370.28	6.003835e-11
1371.62	5.972310e-11
1372.95	5.940983e-11
1374.28	5.909852e-11
1375.62	5.878916e-11
1376.95	5.848174e-11
1378.29	5.817624e-11
1379.62	5.787265e-11
1380.96	5.757095e-11
1382.29	5.727113e-11
1383.62	5.697317e-11
1384.96	5.667706e-11
1386.29	5.638280e-11
1387.63	5.609036e-11
1388.96	5.579972e-11
1390.30	5.551089e-11
1391.63	5.522384e-11
1392.96	5.493856e-11
1394.30	5.465505e-11
1395.63	5.437327e-11
1396.97	5.409323e-11
1398.30	5.381492e-11
1399.63	5.353831e-11
1400.97	5.326339e-11
1402.30	5.299016e-11
1403.64	5.271860e-11
1404.97	5.244870e-11
1406.31	5.218045e-11
1407.64	5.191383e-11
1408.97	5.164883e-11
1410.31	5.138545e-11
1411.64	5.112367e-11
1412.98	5.086348e-11
1414.31	5.060486e-11
1415.65	5.034781e-11
1416.98	5.009232e-11
1418.31	4.983836e-11
1419.65	4.958595e-11
1420.98	4.933505e-11
1422.32	4.908566e-11
1423.65	4.883778e-11
1424.99	4.859138e-11
1426.32	4.834647e-11
1427.65	4.810302e-11
1428.99	4.786103e-11
1430.32	4.762049e-11
1431.66	4.738138e-11
1432.99	4.714371e-11
1434.33	4.690745e-11
1435.66	4.667260e-11
1436.99	4.643914e-11
1438.33	4.620707e-11
1439.66	4.597639e-11
1441.00	4.574706e-11
1442.33	4.551910e-11
1443.67	4.529249e-11
1445.00	4.506722e-11
1446.33	4.484327e-11
1447.67	4.462065e-11
1449.00	4.439934e-11
1450.34	4.417933e-11
1451.67	4.396062e-11
1453.01	4.374319e-11
1454.34	4.352704e-11
1455.67	4.331215e-11
1457.01	4.309853e-11
1458.34	4.288615e-11
1459.68	4.267501e-11
1461.01	4.246510e-11
1462.34	4.225642e-11
1463.68	4.204896e-11
1465.01	4.184270e-11
1466.35	4.163764e-11
1467.68	4.143377e-11
1469.02	4.123108e-11
1470.35	4.102957e-11
1471.68	4.082922e-11
1473.02	4.063003e-11
1474.35	4.043199e-11
1475.69	4.023510e-11
1477.02	4.003934e-11
1478.36	3.984470e-11
1479.69	3.965119e-11
1481.02	3.945878e-11
1482.36	3.926748e-11
1483.69	3.907728e-11
1485.03	3.888817e-11
1486.36	3.870014e-11
1487.70	3.851318e-11
1489.03	3.832729e-11
1490.36	3.814246e-11
1491.70	3.795868e-11
1493.03	3.777595e-11
